timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1479820605452,233,HTTP Request,200,OK,Thread Group 1-11,text,true,,284,100,100,232,0
1479820605451,237,HTTP Request,200,OK,Thread Group 1-5,text,true,,265,99,99,237,0
1479820605450,239,HTTP Request,200,OK,Thread Group 1-2,text,true,,284,98,98,239,0
1479820605451,240,HTTP Request,200,OK,Thread Group 1-7,text,true,,265,97,97,240,0
1479820605460,232,HTTP Request,200,OK,Thread Group 1-23,text,true,,265,96,96,232,0
1479820605458,235,HTTP Request,200,OK,Thread Group 1-22,text,true,,265,95,95,235,0
1479820605453,241,HTTP Request,200,OK,Thread Group 1-14,text,true,,284,94,94,241,0
1479820605455,239,HTTP Request,200,OK,Thread Group 1-17,text,true,,265,94,94,239,0
1479820605452,251,HTTP Request,200,OK,Thread Group 1-12,text,true,,284,92,92,249,0
1479820605457,267,HTTP Request,200,OK,Thread Group 1-19,text,true,,265,91,91,267,0
1479820605452,273,HTTP Request,200,OK,Thread Group 1-13,text,true,,265,91,91,273,0
1479820605451,277,HTTP Request,200,OK,Thread Group 1-4,text,true,,265,90,90,277,0
1479820605450,278,HTTP Request,200,OK,Thread Group 1-1,text,true,,265,90,90,278,0
1479820605457,273,HTTP Request,200,OK,Thread Group 1-21,text,true,,284,89,89,272,0
1479820605451,278,HTTP Request,200,OK,Thread Group 1-6,text,true,,284,89,89,278,0
1479820605455,275,HTTP Request,200,OK,Thread Group 1-16,text,true,,265,87,87,275,0
1479820605457,273,HTTP Request,200,OK,Thread Group 1-20,text,true,,265,86,86,273,0
1479820605452,283,HTTP Request,200,OK,Thread Group 1-10,text,true,,284,83,83,282,0
1479820605454,281,HTTP Request,200,OK,Thread Group 1-15,text,true,,284,83,83,280,0
1479820605450,289,HTTP Request,200,OK,Thread Group 1-3,text,true,,265,81,81,289,0
1479820605490,259,HTTP Request,200,OK,Thread Group 1-67,text,true,,284,80,80,259,0
1479820605455,299,HTTP Request,200,OK,Thread Group 1-18,text,true,,284,79,79,290,0
1479820605483,272,HTTP Request,200,OK,Thread Group 1-56,text,true,,284,79,79,271,0
1479820605514,241,HTTP Request,200,OK,Thread Group 1-98,text,true,,284,78,78,241,0
1479820605451,305,HTTP Request,200,OK,Thread Group 1-9,text,true,,284,76,76,288,0
1479820605485,272,HTTP Request,200,OK,Thread Group 1-59,text,true,,284,76,76,271,0
1479820605506,251,HTTP Request,200,OK,Thread Group 1-89,text,true,,284,76,76,251,0
1479820605501,256,HTTP Request,200,OK,Thread Group 1-80,text,true,,284,75,75,256,0
1479820605490,269,HTTP Request,200,OK,Thread Group 1-66,text,true,,284,72,72,259,0
1479820605461,303,HTTP Request,200,OK,Thread Group 1-26,text,true,,265,71,71,303,0
1479820605499,266,HTTP Request,200,OK,Thread Group 1-75,text,true,,284,70,70,266,0
1479820605464,303,HTTP Request,200,OK,Thread Group 1-28,text,true,,284,69,69,303,0
1479820605513,257,HTTP Request,200,OK,Thread Group 1-96,text,true,,284,68,68,254,0
1479820605511,259,HTTP Request,200,OK,Thread Group 1-94,text,true,,284,68,68,258,0
1479820605488,285,HTTP Request,200,OK,Thread Group 1-63,text,true,,284,66,66,283,0
1479820605493,280,HTTP Request,200,OK,Thread Group 1-70,text,true,,284,65,65,278,0
1479820605507,269,HTTP Request,200,OK,Thread Group 1-91,text,true,,284,64,64,269,0
1479820605491,286,HTTP Request,200,OK,Thread Group 1-68,text,true,,284,63,63,282,0
1479820605491,287,HTTP Request,200,OK,Thread Group 1-69,text,true,,284,62,62,285,0
1479820605451,329,HTTP Request,200,OK,Thread Group 1-8,text,true,,284,61,61,326,0
1479820605503,281,HTTP Request,200,OK,Thread Group 1-84,text,true,,284,60,60,281,0
1479820605501,285,HTTP Request,200,OK,Thread Group 1-81,text,true,,284,59,59,285,0
1479820605481,310,HTTP Request,200,OK,Thread Group 1-54,text,true,,284,58,58,309,0
1479820605461,333,HTTP Request,200,OK,Thread Group 1-25,text,true,,265,57,57,333,0
1479820605485,309,HTTP Request,200,OK,Thread Group 1-60,text,true,,284,57,57,309,0
