Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
HTTP Request,100,322,232,432,55.24,0.00%,224.2,61.39,280.4
TOTAL,100,322,232,432,55.24,0.00%,224.2,61.39,280.4
