Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
HTTP Request,1000,1137,236,2403,586.12,0.00%,381.4,104.81,281.4
TOTAL,1000,1137,236,2403,586.12,0.00%,381.4,104.81,281.4
