timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1479820256355,215,HTTP Request,200,OK,Thread Group 1-2,text,true,,265,876,876,215,0
1479820256355,215,HTTP Request,200,OK,Thread Group 1-1,text,true,,265,876,876,215,0
1479820256365,233,HTTP Request,200,OK,Thread Group 1-41,text,true,,265,955,955,233,0
1479820256598,1,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer,Thread Group 1-957,text,false,,2114,957,957,0,0
1479820256598,1,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-956,text,false,,2629,957,957,0,0
1479820256367,233,HTTP Request,200,OK,Thread Group 1-47,text,true,,265,958,958,233,0
1479820256361,239,HTTP Request,200,OK,Thread Group 1-29,text,true,,265,958,958,239,0
1479820256600,1,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer,Thread Group 1-963,text,false,,2114,960,960,0,0
1479820256359,243,HTTP Request,200,OK,Thread Group 1-14,text,true,,265,960,960,243,0
1479820256367,237,HTTP Request,200,OK,Thread Group 1-46,text,true,,265,965,965,237,0
1479820256367,237,HTTP Request,200,OK,Thread Group 1-49,text,true,,265,964,964,237,0
1479820256360,245,HTTP Request,200,OK,Thread Group 1-20,text,true,,265,964,964,245,0
1479820256363,243,HTTP Request,200,OK,Thread Group 1-36,text,true,,265,963,963,243,0
1479820256367,239,HTTP Request,200,OK,Thread Group 1-48,text,true,,265,962,962,239,0
1479820256364,242,HTTP Request,200,OK,Thread Group 1-38,text,true,,265,962,962,242,0
1479820256360,246,HTTP Request,200,OK,Thread Group 1-16,text,true,,265,962,962,246,0
1479820256355,251,HTTP Request,200,OK,Thread Group 1-4,text,true,,265,959,959,251,0
1479820256355,284,HTTP Request,200,OK,Thread Group 1-3,text,true,,284,983,983,284,0
1479820256357,282,HTTP Request,200,OK,Thread Group 1-8,text,true,,284,982,982,282,0
1479820256363,276,HTTP Request,200,OK,Thread Group 1-37,text,true,,284,982,982,276,0
1479820256366,275,HTTP Request,200,OK,Thread Group 1-45,text,true,,265,980,980,275,0
1479820256365,277,HTTP Request,200,OK,Thread Group 1-40,text,true,,265,979,979,277,0
1479820256366,277,HTTP Request,200,OK,Thread Group 1-44,text,true,,265,978,978,277,0
1479820256365,279,HTTP Request,200,OK,Thread Group 1-42,text,true,,265,977,977,279,0
1479820256366,278,HTTP Request,200,OK,Thread Group 1-43,text,true,,265,976,976,278,0
1479820256355,289,HTTP Request,200,OK,Thread Group 1-5,text,true,,265,976,976,289,0
1479820256365,282,HTTP Request,200,OK,Thread Group 1-39,text,true,,284,974,974,282,0
1479820256368,280,HTTP Request,200,OK,Thread Group 1-52,text,true,,284,973,973,280,0
1479820256378,272,HTTP Request,200,OK,Thread Group 1-77,text,true,,265,972,972,271,0
1479820256374,276,HTTP Request,200,OK,Thread Group 1-66,text,true,,284,971,971,275,0
1479820256378,273,HTTP Request,200,OK,Thread Group 1-78,text,true,,284,970,970,272,0
1479820256381,271,HTTP Request,200,OK,Thread Group 1-86,text,true,,284,969,969,271,0
1479820256359,297,HTTP Request,200,OK,Thread Group 1-11,text,true,,265,968,968,297,0
1479820256360,297,HTTP Request,200,OK,Thread Group 1-23,text,true,,265,967,967,297,0
1479820256543,115,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Broken pipe,Thread Group 1-640,text,false,,2262,966,966,0,0
1479820256390,268,HTTP Request,200,OK,Thread Group 1-104,text,true,,265,965,965,268,0
1479820256544,117,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-650,text,false,,2629,964,964,0,0
1479820256544,117,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-647,text,false,,2629,964,964,0,0
1479820256543,118,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-646,text,false,,2629,964,964,0,0
