Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Home Page,15000,2674,2000,16918,1217.23,98.55%,881.3,1512.49,1757.4
TOTAL,15000,2674,2000,16918,1217.23,98.55%,881.3,1512.49,1757.4
