Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Home Page,100,282,189,712,61.22,0.00%,135.0,37.19,282.2
TOTAL,100,282,189,712,61.22,0.00%,135.0,37.19,282.2
