timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1479472929481,393,Home Page,200,OK,JMeter Users 1-96,text,true,,289,678,678,393,0
1479472929445,429,Home Page,200,OK,JMeter Users 1-61,text,true,,289,675,675,429,0
1479472929421,454,Home Page,200,OK,JMeter Users 1-8,text,true,,289,673,673,454,0
1479472929497,378,Home Page,200,OK,JMeter Users 1-109,text,true,,289,673,673,378,0
1479472929434,441,Home Page,200,OK,JMeter Users 1-163,text,true,,289,673,673,441,0
1479472929419,456,Home Page,200,OK,JMeter Users 1-21,text,true,,289,671,671,456,0
1479472929443,432,Home Page,200,OK,JMeter Users 1-54,text,true,,289,671,671,432,0
1479472929503,372,Home Page,200,OK,JMeter Users 1-119,text,true,,289,669,669,372,0
1479472929460,415,Home Page,200,OK,JMeter Users 1-90,text,true,,289,669,669,415,0
1479472929503,422,Home Page,200,OK,JMeter Users 1-120,text,true,,289,707,707,422,0
1479472929483,442,Home Page,200,OK,JMeter Users 1-836,text,true,,289,707,707,442,0
1479472929423,502,Home Page,200,OK,JMeter Users 1-15,text,true,,270,707,707,502,0
1479472929432,493,Home Page,200,OK,JMeter Users 1-27,text,true,,289,707,707,493,0
1479472929479,446,Home Page,200,OK,JMeter Users 1-173,text,true,,289,707,707,446,0
1479472929425,500,Home Page,200,OK,JMeter Users 1-19,text,true,,289,707,707,500,0
1479472929426,499,Home Page,200,OK,JMeter Users 1-26,text,true,,289,707,707,499,0
1479472929426,499,Home Page,200,OK,JMeter Users 1-20,text,true,,289,707,707,499,0
1479472929579,346,Home Page,200,OK,JMeter Users 1-1131,text,true,,270,700,700,346,0
1479472929432,493,Home Page,200,OK,JMeter Users 1-161,text,true,,289,699,699,493,0
1479472929501,424,Home Page,200,OK,JMeter Users 1-117,text,true,,289,699,699,424,0
1479472929482,444,Home Page,200,OK,JMeter Users 1-99,text,true,,289,699,699,444,0
1479472929422,504,Home Page,200,OK,JMeter Users 1-22,text,true,,289,699,699,504,0
1479472929419,507,Home Page,200,OK,JMeter Users 1-3,text,true,,289,696,696,507,0
1479472929426,500,Home Page,200,OK,JMeter Users 1-33,text,true,,289,695,695,500,0
1479472929420,506,Home Page,200,OK,JMeter Users 1-6,text,true,,270,695,695,506,0
1479472929578,348,Home Page,200,OK,JMeter Users 1-122,text,true,,289,693,693,348,0
1479472929421,505,Home Page,200,OK,JMeter Users 1-10,text,true,,289,692,692,505,0
1479472929485,441,Home Page,200,OK,JMeter Users 1-104,text,true,,289,692,692,441,0
1479472929501,426,Home Page,200,OK,JMeter Users 1-116,text,true,,289,689,689,426,0
1479472929484,443,Home Page,200,OK,JMeter Users 1-100,text,true,,289,689,689,443,0
1479472929432,495,Home Page,200,OK,JMeter Users 1-162,text,true,,289,689,689,495,0
1479472929424,505,Home Page,200,OK,JMeter Users 1-17,text,true,,289,687,687,505,0
1479472929483,446,Home Page,200,OK,JMeter Users 1-174,text,true,,289,687,687,446,0
1479472929431,498,Home Page,200,OK,JMeter Users 1-160,text,true,,289,687,687,498,0
1479472929422,508,Home Page,200,OK,JMeter Users 1-11,text,true,,289,687,687,508,0
1479472929422,509,Home Page,200,OK,JMeter Users 1-12,text,true,,289,687,687,509,0
1479472929428,503,Home Page,200,OK,JMeter Users 1-82,text,true,,289,687,687,497,0
1479472929422,509,Home Page,200,OK,JMeter Users 1-13,text,true,,289,687,687,509,0
1479472929502,429,Home Page,200,OK,JMeter Users 1-118,text,true,,289,687,687,429,0
1479472929484,447,Home Page,200,OK,JMeter Users 1-101,text,true,,289,687,687,447,0
1479472929418,514,Home Page,200,OK,JMeter Users 1-2,text,true,,289,687,687,514,0
1479472929458,474,Home Page,200,OK,JMeter Users 1-86,text,true,,289,687,687,474,0
1479472929482,450,Home Page,200,OK,JMeter Users 1-97,text,true,,289,687,687,450,0
1479472929481,451,Home Page,200,OK,JMeter Users 1-95,text,true,,289,687,687,451,0
1479472929500,432,Home Page,200,OK,JMeter Users 1-114,text,true,,289,687,687,432,0
1479472929488,445,Home Page,200,OK,JMeter Users 1-108,text,true,,289,687,687,445,0
1479472929419,519,Home Page,200,OK,JMeter Users 1-5,text,true,,270,694,694,519,0
1479472929423,522,Home Page,200,OK,JMeter Users 1-14,text,true,,289,728,728,522,0
1479472929501,444,Home Page,200,OK,JMeter Users 1-177,text,true,,289,728,728,444,0
1479472929424,521,Home Page,200,OK,JMeter Users 1-24,text,true,,289,728,728,521,0
1479472929500,445,Home Page,200,OK,JMeter Users 1-115,text,true,,270,728,728,445,0
1479472929423,523,Home Page,200,OK,JMeter Users 1-16,text,true,,270,726,726,523,0
1479472929433,555,Home Page,200,OK,JMeter Users 1-29,text,true,,270,727,727,555,0
1479472929424,565,Home Page,200,OK,JMeter Users 1-23,text,true,,270,727,727,565,0
1479472929498,491,Home Page,200,OK,JMeter Users 1-176,text,true,,289,727,727,491,0
1479472929488,502,Home Page,200,OK,JMeter Users 1-107,text,true,,289,727,727,502,0
1479472929420,570,Home Page,200,OK,JMeter Users 1-7,text,true,,270,727,727,570,0
1479472929421,572,Home Page,200,OK,JMeter Users 1-9,text,true,,289,741,741,572,0
1479472929503,490,Home Page,200,OK,JMeter Users 1-178,text,true,,289,741,741,490,0
1479472929433,560,Home Page,200,OK,JMeter Users 1-28,text,true,,270,741,741,560,0
1479472929499,494,Home Page,200,OK,JMeter Users 1-113,text,true,,289,741,741,494,0
1479472929487,507,Home Page,200,OK,JMeter Users 1-175,text,true,,270,741,741,507,0
1479472929487,507,Home Page,200,OK,JMeter Users 1-105,text,true,,289,741,741,507,0
1479472929579,415,Home Page,200,OK,JMeter Users 1-1125,text,true,,270,741,741,415,0
1479472929488,506,Home Page,200,OK,JMeter Users 1-106,text,true,,270,741,741,506,0
1479472929484,510,Home Page,200,OK,JMeter Users 1-102,text,true,,289,741,741,510,0
1479472929641,353,Home Page,200,OK,JMeter Users 1-922,text,true,,270,741,741,353,0
1479472929419,575,Home Page,200,OK,JMeter Users 1-4,text,true,,270,741,741,575,0
1479472929646,348,Home Page,200,OK,JMeter Users 1-873,text,true,,270,741,741,348,0
1479472929643,415,Home Page,200,OK,JMeter Users 1-908,text,true,,289,787,787,415,0
1479472929644,414,Home Page,200,OK,JMeter Users 1-1032,text,true,,289,787,787,414,0
1479472929596,462,Home Page,200,OK,JMeter Users 1-1010,text,true,,289,787,787,462,0
1479472929642,416,Home Page,200,OK,JMeter Users 1-912,text,true,,289,787,787,416,0
1479472929595,463,Home Page,200,OK,JMeter Users 1-1061,text,true,,289,787,787,463,0
1479472929595,463,Home Page,200,OK,JMeter Users 1-1053,text,true,,270,787,787,463,0
1479472929644,414,Home Page,200,OK,JMeter Users 1-897,text,true,,270,787,787,414,0
1479472929639,419,Home Page,200,OK,JMeter Users 1-933,text,true,,270,787,787,419,0
1479472929499,559,Home Page,200,OK,JMeter Users 1-111,text,true,,289,787,787,559,0
1479472929645,413,Home Page,200,OK,JMeter Users 1-885,text,true,,270,787,787,413,0
1479472929596,462,Home Page,200,OK,JMeter Users 1-1049,text,true,,289,787,787,462,0
1479472929595,463,Home Page,200,OK,JMeter Users 1-1018,text,true,,289,787,787,463,0
1479472929594,464,Home Page,200,OK,JMeter Users 1-1024,text,true,,289,787,787,464,0
