timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1479506843456,271,Home Page,200,OK,JMeter Users 1-85,text,true,,270,321,321,271,0
1479506843417,310,Home Page,200,OK,JMeter Users 1-18,text,true,,270,321,321,310,0
1479506843429,298,Home Page,200,OK,JMeter Users 1-43,text,true,,289,321,321,298,0
1479506843447,280,Home Page,200,OK,JMeter Users 1-75,text,true,,289,321,321,280,0
1479506843440,287,Home Page,200,OK,JMeter Users 1-64,text,true,,289,321,321,287,0
1479506843449,278,Home Page,200,OK,JMeter Users 1-77,text,true,,289,321,321,278,0
1479506843450,277,Home Page,200,OK,JMeter Users 1-126,text,true,,289,321,321,277,0
1479506843443,284,Home Page,200,OK,JMeter Users 1-123,text,true,,289,321,321,284,0
1479506843445,282,Home Page,200,OK,JMeter Users 1-71,text,true,,289,321,321,282,0
1479506843440,287,Home Page,200,OK,JMeter Users 1-122,text,true,,289,321,321,287,0
1479506843443,284,Home Page,200,OK,JMeter Users 1-69,text,true,,289,321,321,284,0
1479506843446,277,Home Page,200,OK,JMeter Users 1-74,text,true,,270,321,321,277,0
1479506843447,276,Home Page,200,OK,JMeter Users 1-73,text,true,,289,321,321,276,0
1479506843446,277,Home Page,200,OK,JMeter Users 1-125,text,true,,289,321,321,277,0
1479506843441,282,Home Page,200,OK,JMeter Users 1-67,text,true,,270,321,321,282,0
1479506843448,275,Home Page,200,OK,JMeter Users 1-76,text,true,,289,321,321,275,0
1479506843445,278,Home Page,200,OK,JMeter Users 1-72,text,true,,270,321,321,278,0
1479506843444,279,Home Page,200,OK,JMeter Users 1-70,text,true,,270,321,321,279,0
1479506843441,282,Home Page,200,OK,JMeter Users 1-66,text,true,,289,321,321,282,0
1479506843443,280,Home Page,200,OK,JMeter Users 1-124,text,true,,270,321,321,280,0
1479506843449,274,Home Page,200,OK,JMeter Users 1-78,text,true,,270,321,321,274,0
1479506843440,283,Home Page,200,OK,JMeter Users 1-65,text,true,,270,321,321,283,0
1479506843442,281,Home Page,200,OK,JMeter Users 1-68,text,true,,289,321,321,281,0
1479506843450,273,Home Page,200,OK,JMeter Users 1-79,text,true,,270,321,321,273,0
1479506843434,295,Home Page,200,OK,JMeter Users 1-55,text,true,,289,329,329,294,0
1479506843454,279,Home Page,200,OK,JMeter Users 1-81,text,true,,270,351,351,279,0
1479506843439,295,Home Page,200,OK,JMeter Users 1-61,text,true,,289,352,352,295,0
1479506843423,311,Home Page,200,OK,JMeter Users 1-30,text,true,,289,353,353,311,0
1479506843424,312,Home Page,200,OK,JMeter Users 1-116,text,true,,289,354,354,311,0
1479506843419,319,Home Page,200,OK,JMeter Users 1-25,text,true,,289,362,362,319,0
1479506843427,313,Home Page,200,OK,JMeter Users 1-117,text,true,,289,368,368,312,0
1479506843436,318,Home Page,200,OK,JMeter Users 1-57,text,true,,289,438,438,318,0
1479506843407,351,Home Page,200,OK,JMeter Users 1-5,text,true,,270,448,448,351,0
1479506843412,346,Home Page,200,OK,JMeter Users 1-7,text,true,,270,448,448,346,0
1479506843452,315,Home Page,200,OK,JMeter Users 1-127,text,true,,270,490,490,315,0
1479506843418,349,Home Page,200,OK,JMeter Users 1-23,text,true,,270,490,490,349,0
1479506843422,345,Home Page,200,OK,JMeter Users 1-29,text,true,,270,490,490,345,0
1479506843431,347,Home Page,200,OK,JMeter Users 1-48,text,true,,289,547,547,347,0
1479506843433,385,Home Page,200,OK,JMeter Users 1-52,text,true,,289,564,564,385,0
1479506843413,405,Home Page,200,OK,JMeter Users 1-13,text,true,,289,564,564,405,0
1479506843439,379,Home Page,200,OK,JMeter Users 1-62,text,true,,289,564,564,379,0
1479506843427,391,Home Page,200,OK,JMeter Users 1-41,text,true,,289,564,564,391,0
1479506843438,380,Home Page,200,OK,JMeter Users 1-60,text,true,,289,564,564,380,0
1479506843422,397,Home Page,200,OK,JMeter Users 1-114,text,true,,289,565,565,397,0
1479506843427,405,Home Page,200,OK,JMeter Users 1-331,text,true,,289,626,626,398,0
1479506843419,433,Home Page,200,OK,JMeter Users 1-26,text,true,,289,743,743,433,0
