timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1479506962487,195,Home Page,200,OK,JMeter Users 1-2,text,true,,270,100,100,195,0
1479506962494,189,Home Page,200,OK,JMeter Users 1-11,text,true,,270,99,99,189,0
1479506962487,197,Home Page,200,OK,JMeter Users 1-1,text,true,,270,98,98,197,0
1479506962494,200,Home Page,200,OK,JMeter Users 1-9,text,true,,270,97,97,200,0
1479506962494,200,Home Page,200,OK,JMeter Users 1-10,text,true,,270,97,97,200,0
1479506962491,203,Home Page,200,OK,JMeter Users 1-6,text,true,,270,97,97,203,0
1479506962492,204,Home Page,200,OK,JMeter Users 1-7,text,true,,270,94,94,204,0
1479506962497,202,Home Page,200,OK,JMeter Users 1-22,text,true,,270,93,93,202,0
1479506962490,220,Home Page,200,OK,JMeter Users 1-4,text,true,,289,92,92,220,0
1479506962493,217,Home Page,200,OK,JMeter Users 1-8,text,true,,289,92,92,217,0
1479506962495,215,Home Page,200,OK,JMeter Users 1-41,text,true,,289,92,92,215,0
1479506962488,222,Home Page,200,OK,JMeter Users 1-3,text,true,,289,89,89,222,0
1479506962500,219,Home Page,200,OK,JMeter Users 1-32,text,true,,270,88,88,219,0
1479506962501,218,Home Page,200,OK,JMeter Users 1-34,text,true,,270,88,88,218,0
1479506962500,219,Home Page,200,OK,JMeter Users 1-30,text,true,,289,88,88,219,0
1479506962500,219,Home Page,200,OK,JMeter Users 1-31,text,true,,270,88,88,219,0
1479506962490,231,Home Page,200,OK,JMeter Users 1-5,text,true,,289,84,84,231,0
1479506962495,233,Home Page,200,OK,JMeter Users 1-13,text,true,,270,83,83,233,0
1479506962496,236,Home Page,200,OK,JMeter Users 1-20,text,true,,270,82,82,236,0
1479506962499,235,Home Page,200,OK,JMeter Users 1-51,text,true,,289,81,81,235,0
1479506962498,239,Home Page,200,OK,JMeter Users 1-24,text,true,,289,80,80,239,0
1479506962498,241,Home Page,200,OK,JMeter Users 1-25,text,true,,289,79,79,240,0
1479506962501,241,Home Page,200,OK,JMeter Users 1-38,text,true,,289,78,78,240,0
1479506962496,247,Home Page,200,OK,JMeter Users 1-17,text,true,,289,77,77,246,0
