timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1479474302789,1161,Home Page,200,OK,JMeter Users 1-399,text,true,,289,2246,2246,1161,0
1479474302807,1154,Home Page,200,OK,JMeter Users 1-385,text,true,,289,2246,2246,1154,0
1479474302823,1138,Home Page,200,OK,JMeter Users 1-316,text,true,,289,2246,2246,1138,0
1479474302828,1122,Home Page,200,OK,JMeter Users 1-276,text,true,,289,2246,2246,1122,0
1479474302820,1141,Home Page,200,OK,JMeter Users 1-335,text,true,,289,2246,2246,1141,0
1479474302807,1154,Home Page,200,OK,JMeter Users 1-387,text,true,,289,2246,2246,1154,0
1479474302787,1174,Home Page,200,OK,JMeter Users 1-464,text,true,,289,2246,2246,1174,0
1479474302824,1137,Home Page,200,OK,JMeter Users 1-306,text,true,,289,2246,2246,1137,0
1479474302787,1175,Home Page,200,OK,JMeter Users 1-440,text,true,,289,2238,2238,1175,0
1479474302788,1174,Home Page,200,OK,JMeter Users 1-433,text,true,,289,2238,2238,1174,0
1479474302789,1173,Home Page,200,OK,JMeter Users 1-406,text,true,,289,2238,2238,1173,0
1479474302826,1136,Home Page,200,OK,JMeter Users 1-290,text,true,,289,2238,2238,1136,0
1479474302821,1141,Home Page,200,OK,JMeter Users 1-328,text,true,,289,2238,2238,1141,0
1479474302808,1154,Home Page,200,OK,JMeter Users 1-382,text,true,,289,2238,2238,1154,0
1479474302824,1138,Home Page,200,OK,JMeter Users 1-308,text,true,,289,2238,2238,1138,0
1479474302788,1174,Home Page,200,OK,JMeter Users 1-425,text,true,,289,2237,2237,1174,0
1479474302787,1175,Home Page,200,OK,JMeter Users 1-438,text,true,,289,2230,2230,1175,0
1479474302788,1175,Home Page,200,OK,JMeter Users 1-423,text,true,,289,2229,2229,1175,0
1479474302807,1156,Home Page,200,OK,JMeter Users 1-391,text,true,,289,2229,2229,1156,0
1479474302826,1137,Home Page,200,OK,JMeter Users 1-303,text,true,,289,2229,2229,1137,0
1479474302807,1156,Home Page,200,OK,JMeter Users 1-389,text,true,,289,2229,2229,1156,0
1479474302823,1140,Home Page,200,OK,JMeter Users 1-311,text,true,,289,2229,2229,1140,0
1479474302822,1141,Home Page,200,OK,JMeter Users 1-322,text,true,,289,2229,2229,1141,0
