Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Home Page,1000,1083,271,1754,389.61,0.00%,440.9,122.83,285.3
TOTAL,1000,1083,271,1754,389.61,0.00%,440.9,122.83,285.3
